loan_part_id,due_date,pay_principal,pay_interest,lender_fee,borrower,status,annualised_rate,credit_band
19671019,2019-07-05,0.58,0.04,0.01,Expansion And Growth Loan,live,8.5,A (Low risk)
19671019,2019-08-05,0.59,0.05,0.0,Expansion And Growth Loan,live,8.5,A (Low risk)
19671019,2019-09-05,0.59,0.04,0.01,Expansion And Growth Loan,live,8.5,A (Low risk)
19671019,2019-10-05,0.6,0.03,0.0,Expansion And Growth Loan,live,8.5,A (Low risk)
19671019,2019-11-05,0.6,0.03,0.01,Expansion And Growth Loan,live,8.5,A (Low risk)
19671019,2019-12-05,0.6,0.03,0.0,Expansion And Growth Loan,live,8.5,A (Low risk)
19671019,2020-01-05,0.61,0.02,0.0,Expansion And Growth Loan,live,8.5,A (Low risk)
19671019,2020-02-05,0.62,0.02,0.0,Expansion And Growth Loan,live,8.5,A (Low risk)
19671019,2020-03-05,0.62,0.01,0.0,Expansion And Growth Loan,live,8.5,A (Low risk)
19671019,2020-04-05,0.62,0.01,0.01,Expansion And Growth Loan,live,8.5,A (Low risk)
19671019,2020-05-05,0.63,0.0,0.0,Expansion And Growth Loan,live,8.5,A (Low risk)
19662773,2017-06-05,0.34,0.15,0.01,Working Capital Loan,live,9.0,A (Low risk)
19662773,2017-07-05,0.35,0.14,0.02,Working Capital Loan,live,9.0,A (Low risk)
19662773,2017-08-05,0.36,0.15,0.01,Working Capital Loan,live,9.0,A (Low risk)
19662773,2017-09-05,0.35,0.14,0.02,Working Capital Loan,live,9.0,A (Low risk)
19662773,2017-10-05,0.36,0.14,0.02,Working Capital Loan,live,9.0,A (Low risk)
19662773,2017-11-05,0.36,0.14,0.01,Working Capital Loan,live,9.0,A (Low risk)
19662773,2017-12-05,0.36,0.13,0.02,Working Capital Loan,live,9.0,A (Low risk)
19662773,2018-01-05,0.37,0.13,0.01,Working Capital Loan,live,9.0,A (Low risk)
19662773,2018-02-05,0.37,0.13,0.01,Working Capital Loan,live,9.0,A (Low risk)
19662773,2018-03-05,0.37,0.13,0.02,Working Capital Loan,live,9.0,A (Low risk)
19662773,2018-04-05,0.38,0.12,0.01,Working Capital Loan,live,9.0,A (Low risk)
19662773,2018-05-05,0.37,0.12,0.02,Working Capital Loan,live,9.0,A (Low risk)
19662773,2018-06-05,0.38,0.12,0.01,Working Capital Loan,live,9.0,A (Low risk)
19662773,2018-07-05,0.39,0.11,0.01,Working Capital Loan,live,9.0,A (Low risk)
19662773,2018-08-05,0.38,0.11,0.01,Working Capital Loan,live,9.0,A (Low risk)
19662773,2018-09-05,0.39,0.11,0.02,Working Capital Loan,live,9.0,A (Low risk)
19662773,2018-10-05,0.39,0.11,0.01,Working Capital Loan,live,9.0,A (Low risk)
19662773,2018-11-05,0.4,0.1,0.01,Working Capital Loan,live,9.0,A (Low risk)
19662773,2018-12-05,0.4,0.1,0.01,Working Capital Loan,live,9.0,A (Low risk)
19662773,2019-01-05,0.4,0.1,0.01,Working Capital Loan,live,9.0,A (Low risk)
19662773,2019-02-05,0.4,0.09,0.01,Working Capital Loan,live,9.0,A (Low risk)
19662773,2019-03-05,0.41,0.09,0.01,Working Capital Loan,live,9.0,A (Low risk)
19662773,2019-04-05,0.41,0.09,0.01,Working Capital Loan,live,9.0,A (Low risk)
19662773,2019-05-05,0.41,0.08,0.01,Working Capital Loan,live,9.0,A (Low risk)
19662773,2019-06-05,0.42,0.09,0.01,Working Capital Loan,live,9.0,A (Low risk)
19662773,2019-07-05,0.42,0.07,0.01,Working Capital Loan,live,9.0,A (Low risk)
19662773,2019-08-05,0.42,0.08,0.01,Working Capital Loan,live,9.0,A (Low risk)
19662773,2019-09-05,0.42,0.07,0.0,Working Capital Loan,live,9.0,A (Low risk)
19662773,2019-10-05,0.43,0.07,0.01,Working Capital Loan,live,9.0,A (Low risk)
19662773,2019-11-05,0.43,0.07,0.01,Working Capital Loan,live,9.0,A (Low risk)
19662773,2019-12-05,0.44,0.06,0.01,Working Capital Loan,live,9.0,A (Low risk)
19662773,2020-01-05,0.44,0.06,0.0,Working Capital Loan,live,9.0,A (Low risk)
19662773,2020-02-05,0.44,0.06,0.01,Working Capital Loan,live,9.0,A (Low risk)
19662773,2020-03-05,0.44,0.05,0.01,Working Capital Loan,live,9.0,A (Low risk)
19662773,2020-04-05,0.45,0.05,0.0,Working Capital Loan,live,9.0,A (Low risk)
19662773,2020-05-05,0.45,0.04,0.01,Working Capital Loan,live,9.0,A (Low risk)
19662773,2020-06-05,0.46,0.05,0.0,Working Capital Loan,live,9.0,A (Low risk)
19662773,2020-07-05,0.46,0.04,0.01,Working Capital Loan,live,9.0,A (Low risk)
